loss,mae,val_loss,val_mae
210.4814910888672,210.4814910888672,213.51551818847656,213.51551818847656
203.8838653564453,203.8838653564453,202.0352020263672,202.0352020263672
185.35389709472656,185.35389709472656,176.18394470214844,176.18394470214844
149.04946899414062,149.04946899414062,137.67800903320312,137.67800903320312
116.16356658935547,116.16356658935547,124.08368682861328,124.08368682861328
108.30760192871094,108.30760192871094,121.62700653076172,121.62700653076172
105.0663070678711,105.0663070678711,120.04381561279297,120.04381561279297
103.08355712890625,103.08355712890625,119.22863006591797,119.22863006591797
102.03932189941406,102.03932189941406,117.55009460449219,117.55009460449219
100.68192291259766,100.68192291259766,116.41804504394531,116.41804504394531
99.52610778808594,99.52610778808594,115.39315032958984,115.39315032958984
98.7047348022461,98.7047348022461,114.3878173828125,114.3878173828125
97.6079330444336,97.6079330444336,113.92562866210938,113.92562866210938
96.71802520751953,96.71802520751953,112.51300811767578,112.51300811767578
95.86469268798828,95.86469268798828,111.84771728515625,111.84771728515625
95.17700958251953,95.17700958251953,111.12543487548828,111.12543487548828
94.3618392944336,94.3618392944336,110.31179809570312,110.31179809570312
93.66985321044922,93.66985321044922,110.01290893554688,110.01290893554688
93.00094604492188,93.00094604492188,109.02342224121094,109.02342224121094
92.32239532470703,92.32239532470703,108.30883026123047,108.30883026123047
91.7367935180664,91.7367935180664,107.67444610595703,107.67444610595703
91.19518280029297,91.19518280029297,107.35150146484375,107.35150146484375
90.56719970703125,90.56719970703125,106.94915771484375,106.94915771484375
90.07942199707031,90.07942199707031,106.39864349365234,106.39864349365234
89.46226501464844,89.46226501464844,106.01893615722656,106.01893615722656
88.96369171142578,88.96369171142578,105.03703308105469,105.03703308105469
88.29764556884766,88.29764556884766,105.68477630615234,105.68477630615234
88.00128173828125,88.00128173828125,104.63876342773438,104.63876342773438
87.57495880126953,87.57495880126953,104.69100952148438,104.69100952148438
87.16907501220703,87.16907501220703,103.6639633178711,103.6639633178711
86.7718276977539,86.7718276977539,103.27142333984375,103.27142333984375
86.5553207397461,86.5553207397461,103.22506713867188,103.22506713867188
86.18433380126953,86.18433380126953,102.97949981689453,102.97949981689453
85.90382385253906,85.90382385253906,102.48836517333984,102.48836517333984
85.66307067871094,85.66307067871094,102.30752563476562,102.30752563476562
