id,category,avg_rating,n_loved,n_sold,name,price,rate_1,rate_2,rate_3,rate_4,rate_5,rate_with_cmt,rate_with_imgvid,shop_age,shop_follower,shop_n_product,shop_n_review,shop_name,shop_rate_feedback,shop_time_feedback
28,Điện thoại,4.2,82,218,[Mã 11ELSALE hoàn 7% xu đơn 300k] ĐIỆN THOẠI V8 SANG TRỌNG VÀ ĐẲNG CẤP [TẶNG BAO DA],439000,3,0,1,1,13,10,6,18,6300,171,637,phukientot18,54,trong vài giờ
29,Điện thoại,4.4,60,130,Ốp điện thoại cho Xiaomi Redmi K20/K20 Pro,43000,3,1,2,6,28,12,4,31,2100,596,4400,womenfamily.vn,68,trong vài giờ
30,Điện thoại,4.9,520,13,Điện Thoại Sam Sung S3600 Nắp Gập Chính Hãng Loa To Sóng Khỏe,459000,0,0,0,1,7,6,5,45,890,50,69,fonedepvietnam,80,trong vài giờ
31,Điện thoại,4.9,38,54,"Điện Thoại Nokia 6300 main zin, màn zin chưa qua sửa chữa",300000,1,0,0,0,28,21,4,42,2400,234,2700,duyqn6879,91,trong vài giờ
32,Điện thoại,4.9,12,52,[LKBBZIN] Nắp Lưng Blackberry Priv Zin Tháo máy đẹp,170000,0,0,1,2,24,12,3,50,961,224,1300,congtc992,81,trong vài giờ
33,Điện thoại,5.0,737,29,"Dây Sạc 3 mét Bọc Dù IPhone,Android, TYPE Ck",29000,0,0,0,0,6,5,4,8,11300,179,512,phukienthanhlam,83,trong vài giờ
34,Điện thoại,4.8,44,15,Main iphone 5s bypass+ tặng full cụm vỏ sau,200000,0,0,1,0,8,6,3,59,234,46,366,mobopon,66,trong vài giờ
35,Điện thoại,4.6,70,82,Điện thoại giá rẻ độc lạ hàng hiếm - phong thủy mùa Vu Lan - tặng bao da + 2 pin [Full box],699000,1,2,1,1,30,22,13,30,208,20,144,vu_quan_9,57,trong vài giờ
36,Điện thoại,5.0,2700,445,[RẺ HỦY DIỆT]  ĐIÊN THOẠI LG V30 PLUS 128G mới Chính Hãng - CHƠI GEME PUBG + LIÊN QUÂN MUỌT,4649000,0,0,0,0,3,0,0,44,20700,562,999,smartphonelethuan,50,trong vài giờ
37,Điện thoại,4.9,322,29,ĐIỆN THOẠI SAMSUNG NOTE 8 XÁCH TAY - 64GB / ROM 6GB- CHIP Snap 835 Cực mạnh chiến được tất cả các game,5999000,0,0,1,1,19,17,9,37,2700,115,727,vyoanhyenoanh,19,trong vài giờ
38,Điện thoại,4.5,4,62,NẮP LƯNG NOKIA 8.1 / NOKIA X7 / 7.1 PLUS ZIN,85000,2,0,0,0,14,6,3,22,1200,1600,5400,linhkiendienthoai688,36,trong vài giờ
39,Điện thoại,4.3,5800,69,(Có Kèm Pin Sạc) Điện Thoại Nokia 1202 Zin Bảo Hành 12 Tháng,117000,2,1,2,3,16,4,3,51,8500,59,1200,abcdeghikccc,89,trong vài giờ
40,Điện thoại,4.8,33,60,"ĐIỆN THOẠI NGƯỜI GIÀ MASSTEL FAMI 9- F50 -FAMI 11-FAMI 12 nắp gập thời trang,2 sim, pin trâu,sóng khỏe, loa to,đọc số",219500,0,0,0,4,18,9,6,61,38100,436,9600,cucre.vn,83,trong vài giờ
41,Điện thoại,4.6,56,19,Điện Thoại Pixel 3xl rom 4 bộ nhớ 64gb chip snapdragon 845 cực mượt,3286000,0,1,1,0,10,6,3,19,5100,65,284,hoanglamphong88,77,trong vài giờ
42,Điện thoại,5.0,14,18,Điện Thoại Samsung Galaxy S7 Hàn Ram 4gb/32gb Chính Hãng mới - chơi LIÊN QUÂN mướt bảo hành lâu dài,1974000,0,0,0,0,17,16,13,70,1300,78,818,dienthoaihan_198,53,trong vài giờ
43,Điện thoại,5.0,3800,180,"GIÁ RẺ HỦY DIỆT "" Điện Thoại "" HTC 10 - RAM: 4 GB Bộ nhớ trong: 32 GB -Chơi PUBG-Free Fire mượt- FULLBOX !!",1890000,0,0,0,0,7,6,4,49,27900,466,1600,annhien_mobile,9,trong vài giờ
44,Điện thoại,4.5,11,59,Điện Thoại 101 (2 SIM),157000,1,0,1,0,11,6,4,20,438,82,979,anhbinhminhv,48,trong vài giờ
45,Điện thoại,4.7,109,84,Máy điện thoại mini hình chai cocacola siêu lạ,270000,1,0,1,2,23,14,9,51,4800,165,2600,vuthuha1207_94,30,trong vài giờ
46,Điện thoại,4.3,62,44,[Mã 11ELSALE hoàn 7% xu đơn 300k] Điện Thoại Nắp Trượt Nokia N95 8G Chính Hãng Có WiFi 3G Bảo Hành Uy Tín,815000,3,0,1,4,16,16,11,49,18200,351,22900,alofonevietnam,97,trong vài giờ
47,Điện thoại,5.0,19,7,[Mã 11ELSALE hoàn 7% đơn 300K] Điện thoại Vivo Y79 màn 5.9 inch - Snap 625 ram 4G 64G,1398000,0,0,0,0,3,2,0,50,62500,534,24300,thelinhstore,94,trong vài giờ
48,Điện thoại,4.6,30,304,"Điện thoại Vivo Y53 Ram 2Gb, ROm 16Gb (2 sim) - Bảo hành 12 tháng - fullbox đầy đủ phụ kiện tặng kèm ốp - hàng nhập khâu",925000,0,0,1,0,4,4,3,36,1300,176,503,fptshopp,26,trong vài giờ
49,Điện thoại,4.9,2,43,sản phẩm khách chọn live A220,220000,0,0,0,1,18,12,10,57,30700,137,5900,tuoinguyen912_vn,57,trong vài giờ
50,Điện thoại,4.4,76,18,"Điện thoại LG G8X ThinQ ram 6G/128G zin Chính Hãng, Camera selfiel 32mp, CPU Snap 855",3439500,1,0,0,2,7,9,2,59,5500,81,1600,thanhbinhmobile.vn,99,trong vài giờ
51,Điện thoại,4.9,21,53,"Bộ màn hình mobiistar ZUMBO S2 (có 1 camera trước ) (đây là linh kiện, ko phải là máy điện thoại)",325000,0,0,1,1,20,16,8,39,1300,603,1800,tumobileshop,86,trong vài giờ
52,Điện thoại,5.0,3400,250,"ĐIỆN THOẠI LG V10 64 GB,HAI SIM RAM4 FULLBOX ____________BH 12 THÁNG/",1850000,0,0,0,0,5,5,3,52,26100,278,2500,thinhphat_mobile,1,trong vài ngày
53,Điện thoại,5.0,12,123,Tai nghe Blutooth Redmi 7 Thể thao Chính Hãng   Lá đu đủ,350000,0,0,0,0,9,1,2,15,18,78,203,bonks_official,11,trong vài giờ
54,Điện thoại,5.0,3100,216,Điện Thoại Nokia 6300 Đủ pin sạc _ Nhập khẩu Chính hãng,350000,0,0,0,0,5,3,4,42,26100,278,2500,thinhphat_mobile,1,trong vài ngày
55,Điện thoại,4.7,85,14,"Điện thoại mini Siêu Nhỏ, DỄ THƯƠNG B331 02 sim 02 sóng gắn được thẻ- 8G.",180000,0,1,0,0,9,4,6,37,22100,692,3900,storevn678,39,trong vài giờ
56,Điện thoại,4.5,1600,243,điện thoại Sony Xperia Z5 32G ram 3G mới CHÍNH HÃNG (màu đen) - chơi PUBG mướt,1499000,1,0,0,0,7,8,7,49,27900,466,1600,annhien_mobile,9,trong vài giờ
57,Điện thoại,5.0,118,474,Điện Thoại Mini Kechaoda K10 Tí Hon Siêu Nhỏ Xíu Thay Đổi Giọng Nói - OHNO Việt Nam,400000,0,0,0,0,3,1,1,32,5800,173,582,ohnovn,57,trong vài ngày
58,Điện thoại,5.0,1,150,"Dây cáp sạc iPhone sạc nhanh PD 20w 18w, cáp sạc dành cho iphone 11/11 promax / 12/ 12 Pro Max/ X /Iphone 8, Ipad",99500,0,0,0,0,3,2,2,10,23,67,277,trunghaupc9999,57,trong vài giờ
59,Điện thoại,5.0,2900,34,"Điện Thoại Nokia 105 Đủ Pin, Sạc Kèm Bảo hành",199000,0,0,0,0,14,11,8,30,4300,76,445,hachi8892,87,trong vài giờ
60,Điện thoại,5.0,17,16,Freeship Điện Thoại Samsung S7 - Samsung Galaxy S7 Ram 4g/32g Chính Hãng mới - chơi LIÊN QUÂN mướt,1999000,0,0,0,0,14,14,12,73,1300,78,818,dienthoaihan_198,53,trong vài giờ
61,Điện thoại,5.0,21,16,Điện Thoại Oppo A37 Neo 9 Dual Sim Ram 2gb/16gb Chính Hãng Mới Zin Bảo hành 1 năm-Full Chức Năng,1224000,0,0,0,0,14,13,13,67,1300,78,818,dienthoaihan_198,53,trong vài giờ
62,Điện thoại,5.0,663,37,Jack điện thoại Omamori mini,75000,0,0,0,0,15,8,6,74,31100,293,3700,shizazen,91,trong vài giờ
63,Điện thoại,5.0,2,22,[Mã 11ELSALE hoàn 7% đơn 300K] Combo200 miếng dán điện thoại tài lộc phù hợp phong thuỷ đẹp lung linh,1800000,0,0,0,0,13,10,10,9,6800,119,6000,quatangsuutam95,98,trong vài giờ
64,Điện thoại,4.6,26,74,Điện Thoại 1110i kèm sạc  [ Chính Hãng ],250000,1,1,0,5,25,11,7,42,30,36,50,renhat.vn,3,trong vài giờ
65,Điện thoại,5.0,56,2800,Điện thoại Nokia 6500 Slide Nắp Trượt Chính Hãng Bảo Hành 24 Tháng – OHNO,1600000,0,0,0,0,2,2,0,55,1700,289,367,mapalan,57,trong vài ngày
66,Điện thoại,4.9,8,33,Nắp lưng đt HTC U11,180000,0,0,1,0,17,13,6,9,206,955,1300,linhkienmobiletienquang,52,trong vài giờ
67,Điện thoại,4.8,49,166,Điên thoại VIVO Y66 - 2 sim - Ram 3GB - Fullbox,1399000,0,0,1,0,8,6,2,31,1300,176,503,fptshopp,26,trong vài giờ
68,Điện thoại,4.8,81,49,[Mã 11ELSALE hoàn 7% đơn 300K] Điện Thoại Nokia 6700S Nắp Trượt Chính Hãng Mỏng Vỏ Nhôm Nhẹ,731700,0,0,1,2,16,13,8,33,1600,274,2900,chinhhangdienthoai,83,trong vài giờ
69,Điện thoại,4.3,22,71,Đồng Hồ Điện Thoại DZ09 Nghe Gọi như smartphone,175000,1,1,1,2,11,6,2,42,125,101,186,donghothongminhshop,75,trong vài phút
70,Điện thoại,4.8,291,33,"ĐIỆN THOẠI DI ĐỘNG NGƯỜi GIÀ CAO TUỔI VIETTEL V6216,XPHONE(Máy Cũ) , 2 sim, pin trâu, loa to, sóng khỏe, đọc số bàn phím",250000,0,0,0,2,7,2,0,44,573,142,165,ngoc_tram96,85,trong vài giờ
71,Điện thoại,4.7,100,84,Điện Thoại VIVO Y12S (3-32G) - Hàng Chính Hãng,3490000,1,0,0,1,17,11,6,38,2000,284,1700,shopgiasi8686,66,trong vài giờ
72,Điện thoại,4.6,26,20,"Điện Thoại LG V40 ThinQ ram 6/64gb 1sim snap 845, 6.4'' Quad hd+ (2k)",2891500,0,0,0,3,4,5,2,19,5100,65,284,hoanglamphong88,77,trong vài giờ
73,Điện thoại,5.0,2700,195,điện thoại LG G7 ThinQ CHÍNH HÃNG LG MỚI ĐẸP CHƯA QUA SỬ DỤNG,2799000,0,0,0,0,5,0,1,46,20700,562,999,smartphonelethuan,50,trong vài giờ
74,Điện thoại,4.9,42300,51,[NHẬP MÃ GTAUG1971 HOÀN 30.000] Điện Thoại Mini Nokia 2 Sim Siêu nhỏ,549000,0,0,0,1,14,3,0,54,59900,118,2800,sim4ghuyhoang,55,trong vài giờ
75,Điện thoại,4.9,1,35,sản phẩm khách chọn live A400,400000,0,0,0,1,15,11,10,62,30700,137,5900,tuoinguyen912_vn,57,trong vài giờ
76,Điện thoại,5.0,3800,198,Điện thoại oppo F7 64gb ram4 chính hãng nhập khẩu,2499000,0,0,0,0,5,5,3,45,26100,278,2500,thinhphat_mobile,1,trong vài ngày
77,Điện thoại,4.8,68800,45,ĐIỆN THOẠI NOKIA 1280 - HÀNG ZIN TỒN KHO,174000,0,1,0,0,16,6,2,45,81600,830,1100,thegioi.thenho,82,trong vài giờ
78,Điện thoại,5.0,46,60,Điện Thoại Vivo Y20 4Gb/64Gb - Hàng Chính Hãng,5633000,0,0,0,0,12,8,4,35,2000,284,1700,shopgiasi8686,66,trong vài giờ
79,Điện thoại,4.7,41,39,Điện thoại Sony Xperia XZ1 Chính hãng 1 Sim Snap835 4/64Gb,1999000,1,0,0,2,18,16,9,43,837,19,293,tts_mobile,23,trong vài phút
80,Điện thoại,4.3,5,14,[Mã 11ELSALE hoàn 7% đơn 300K] Điện thoại OPPO A57 (oppo F3 Lite) màn 5.2 - Snap 435 ram 3G 32G,948000,0,0,1,1,2,3,1,44,62500,534,24300,thelinhstore,94,trong vài giờ
81,Điện thoại,4.6,16,23,[Mã 11ELSALE hoàn 7% đơn 300K] Điện thoai OPPO A5 màn 6.2 icnh - Snap 450 ram 4G 64G,1428000,0,0,1,1,5,5,4,46,62500,534,24300,thelinhstore,94,trong vài giờ
82,Điện thoại,4.8,15,48,[HÀNG CHẤT] MAINBOARD IPHONE 4/ 4S ZIN MÁY TỐT NHẤT [TẶNG NẮP LƯNG 3 NGAY DUY NHẤT],64500,1,0,0,0,19,14,8,48,1100,234,722,nguyenlk91,59,trong vài giờ
83,Điện thoại,5.0,3,58,Tai Nghe điện thoại,150000,0,0,0,0,14,0,0,54,1800,100,1400,hongphan86,13,trong vài giờ
84,Điện thoại,5.0,35,11,"NGUYÊN ZIN, chính hãng, điện thoại cổ sony ericsson c903",1299000,0,0,0,0,8,6,2,30,287,163,110,115haonam,75,trong vài giờ
85,Điện thoại,5.0,17,11,[Mã 11ELSALE hoàn 7% đơn 300K] Điện thoại Xiaomi Poco X3 Pro (Snap 860) RAM 6/8-128GB - BH 18T Chính hãng,6250000,0,0,0,0,5,2,1,26,21700,149,4100,mobilecityvn,100,trong vài giờ
86,Điện thoại,5.0,12,10,"[Mã ELMALL1TR giảm 5% đơn 3TR] Điện thoại Samsung Galaxy A22 4G (6GB-128GB) - Hàng Chính Hãng, Mới 100%, Nguyên seal",5290000,0,0,0,0,5,3,3,48,5100,143,464,happyphone2021,61,trong vài giờ
87,Điện thoại,4.4,83,10,Điện thoại 5g. phiên bản quốc tế_nhỏ gọn_mượt mà sang trọng.Giá rẻ hợp lí,725000,1,0,0,0,6,5,3,10,238,18,86,thangloi189,80,trong vài giờ
88,Điện thoại,5.0,12,15,[Mã 11ELSALE hoàn 7% xu đơn 300k] Điện Thoại 4 Sim Hope K69 Có Thay Đổi Giọng Nói Ghi Âm Cuộc Gọi Bảo Hành 12 Tháng,490000,0,0,0,0,5,3,4,47,18200,351,22900,alofonevietnam,97,trong vài giờ
89,Điện thoại,5.0,21300,18,Điện thoại sony xperia z3 compact docomo nhật likenew mới 98%,2999000,0,0,0,0,12,6,3,48,60100,254,2900,sanhangngoai.com,66,trong vài giờ
90,Điện thoại,5.0,5900,16,[HÀNG NHẬP KHẨU] Tay Cầm Chống Rung Điện Tử Gimbal Smartphone - Bluetooth Bản Cao Cấp Nhất Full Tính Năng 🌺FREESHIP🌺,649000,0,0,0,0,12,10,10,17,7800,53,942,kinghdshop,95,trong vài phút
91,Điện thoại,5.0,53,30,Đầu chuyển đổi cao cấp chân 3.5 sang đầu Lightning cho Iphone 7 8 X Xs Xr 11 Pro Max 12,246000,0,0,0,0,12,9,3,33,16300,105,2900,avstar.vn,91,trong vài giờ
92,Điện thoại,5.0,4400,31,Điện thoại Xiaomi Redmi 9A ram 2gb 32gb mới 100% hàng chính hãng bảo hành 18 tháng toàn quốc,2570000,0,0,0,0,12,6,5,47,60100,254,2900,sanhangngoai.com,66,trong vài giờ
93,Điện thoại,4.9,45,55,Điện thoại xiaomi mi A1 4gb rom 64gb,2200000,0,0,0,1,12,2,2,65,817,126,228,nguyenthiep19022016,68,trong vài giờ
94,Điện thoại,4.9,27,25,[Mã 11ELSALE hoàn 7% xu đơn 300k] Điện Thoại Nokia X3 02 Chính Hãng Cảm Ứng WiFi 3.5G Bảo Hành Uy Tín,530000,0,0,0,1,12,8,5,47,18200,351,22900,alofonevietnam,97,trong vài giờ
95,Điện thoại,4.5,15600,94,"(siêu khuyến mại)ĐIỆN THOẠI  Q - MOBILE SP 5000 LOA TO, CHỮ TO, PIN 5000 MAH SIÊU KHỎE - BẢO HÀNH 18 THÁNG",260000,1,0,2,2,17,11,4,34,22100,692,3900,storevn678,39,trong vài giờ
96,Điện thoại,4.9,24,73,Điện thoại mini Nokia,229000,0,0,0,2,12,5,3,44,78,108,51,phuongmit.300886,57,trong vài giờ
97,Điện thoại,5.0,7,1500,[Mã 11ELSALE hoàn 7% đơn 300K] điện thoại Samsung Galaxy J5 Prime 2sim ram 3G/32G mới Chính Hãng - Bảo hành 12 tháng,2200000,0,0,0,0,2,2,2,56,27500,617,8500,baongocstore2016,82,trong vài giờ
98,Điện thoại,5.0,44,894,Điện Thoại Bàn Phím Pin Trâu Nokia N6000 Điện Thoại 4 Sim 4 Sóng Nghe Gọi Giá Rẻ – OHNO Việt Nam,1299000,0,0,0,0,2,2,2,54,1700,289,367,mapalan,57,trong vài ngày
99,Điện thoại,5.0,8,667,"[KHUYẾN MÃI SỐC] SONY XPERIA XZ PREMIUM (4GB/64GB) máy Chính Hãng, Camera siêu nét, Chiến Game Nặng ngon",3069000,0,0,0,0,2,2,2,35,11900,715,10800,smartphonegiasi,77,trong vài giờ
100,Điện thoại,5.0,62,870,Điện Thoại NOKIA 8600 Luna Điện Thoại Nắp Trượt 8600 Nokia Cổ Chính Hãng ZIN NGUYÊN CON Bảo Hành 24 Tháng - OHNO VN,3500000,0,0,0,0,2,2,1,32,5800,173,582,ohnovn,57,trong vài ngày
101,Điện thoại,5.0,32,924,Điện Thoại Nắp Trượt Nokia 6700 Main Zin Chính Hãng - Điện Thoại Trượt Nắp Nokia 6700s - OHNO Việt Nam,1798000,0,0,0,0,2,2,0,64,1700,289,367,mapalan,57,trong vài ngày
102,Điện thoại,5.0,44,932,Điện thoại Nokia 7610 Bảo Hành 24 Tháng Chính Hãng - OHNO Việt Nam,1500000,0,0,0,0,2,2,0,62,1700,289,367,mapalan,57,trong vài ngày
103,Điện thoại,5.0,54,873,Điện Thoại Độc Lạ Giá Rẻ Spinner Mini A1 Điện Thoại Con Quay Xả Stress - OHNO Việt Nam,599000,0,0,0,0,2,0,0,54,1700,289,367,mapalan,57,trong vài ngày
104,Điện thoại,5.0,9,1100,[ CHƠI LIÊN QUÂN ] điện thoại Sony Xperia 10 - Sony Xperia X10 bộ nhớ 64G mới - Bảo hành 12 tháng,4149000,0,0,0,0,2,1,2,62,27500,617,8500,baongocstore2016,82,trong vài giờ
105,Điện thoại,5.0,10,1400,'' RẺ VÔ ĐỊCH '' điện thoại Samsung Galaxy J3 pro 2sim 32G ram 3G Chính Hãng - Chơi LIÊN QUÂN/PUBG ngon,1349000,0,0,0,0,2,2,2,56,27500,617,8500,baongocstore2016,82,trong vài giờ
106,Điện thoại,5.0,7,22,[Nhập mã LUUG136 chỉ còn 99k FREESHIP] Tai Nghe AKG S8 | Note 8 | Note 9 chính hãng + Hộp Đựng Chất + Cây chọc Sim,103275,0,0,0,0,12,3,1,46,4600,452,11600,luugiamobile,93,trong vài giờ
107,Điện thoại,5.0,180,67,Điện thoại Nokia 105 - Dual Sim 2019,500000,0,0,0,0,12,6,5,25,8100,61,3100,lananh8278,96,trong vài phút
108,Điện thoại,5.0,19,39,Linh kiện thay thế LG V30,100000,0,0,0,0,13,6,2,50,426,78,544,mitbinshop,83,trong vài giờ
109,Điện thoại,5.0,2,41,Camera trước Samsung Galaxy A50 A505 Zin Hãng,79000,0,0,0,0,12,7,2,51,406,1200,1600,kungpao90,52,trong vài giờ
110,Điện thoại,5.0,3400,869,Điện Thoại NOKIA 6700c 6700 Classic Điện Thoại 6700 Nokia Chính Hãng Điện Thoại Cổ Nokia 6700 Zin Mới - OHNO Việt Nam,2500000,0,0,0,0,2,1,0,32,5800,173,582,ohnovn,57,trong vài ngày
