category,avg_rating,n_loved,n_reviews,n_sold,name,price,rate_1,rate_2,rate_3,rate_4,rate_5,rate_with_cmt,rate_with_imgvid,shop_age,shop_follower,shop_n_product,shop_n_review,shop_name,shop_rate_feedback,shop_time_feedback
Sạc,4.9,Đã thích (22),4.9,202,Giắc cắm USB tròn 7 chân TBTIC cổng Micro USB/Type C/Lightning,₫7.000 - ₫28.000,,,,,,,,3 năm trước,"8,5k",222,"9,6k",szko.vn,99%,trong vài giờ
Sạc,4.8,Đã thích (165),4.8,"2,5k",bộ 2 dụng cụ bảo vệ đầu cáp sạc,₫7.000,1 Sao (11),2 Sao (9),3 Sao (22),4 Sao (26),5 Sao (718),Có Bình luận (246),Có hình ảnh / video (210),5 năm trước,"79,7k","1,7k",379k,nhutrangplaza,99%,trong vài giờ
Sạc,5.0,Đã thích (3),5.0,635,Củ sạc nhanh 4 cổng USB 3.4A Remax U43 chính hãng,₫149.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (15),Có Bình luận (10),Có hình ảnh / video (4),7 tháng trước,"1,1k",106,662,shopphukien.123,93%,trong vài giờ
Sạc,4.9,Đã thích (31),4.9,679,Cáp Sạc Nhanh Iphone Và Truyền Dữ Liệu Tai Nghe I12 Chuyên Dụng Chất Lượng Cao,₫8.800 - ₫12.000,1 Sao (2),2 Sao (0),3 Sao (3),4 Sao (6),5 Sao (201),Có Bình luận (45),Có hình ảnh / video (41),4 năm trước,"70,2k","1,3k","95,2k",freeship.vn,78%,trong vài giờ
Sạc,,,,,,,,,,,,,,,,,,,,
Sạc,4.9,Đã thích (64),4.9,758,Dây cáp chuyển đổi mô đun USB DC 5V sang DC 5V 9V 12V phích 2.1*5.5mm,₫13.000 - ₫18.800,1 Sao (3),2 Sao (3),3 Sao (2),4 Sao (6),5 Sao (194),Có Bình luận (70),Có hình ảnh / video (53),32 tháng trước,5k,718,"30,8k",meltsee.vn,100%,trong vài phút
Sạc,5.0,Đã thích (52),5.0,400,Cáp sạc nhanh iphone. Dây PD 20W TypeC to lightning dây dù siêu bền,₫130.000 - ₫190.000,,,,,,,,8 tháng trước,955,55,412,phukiendienthoai9991,67%,trong vài giờ
Sạc,5.0,Đã thích (19),5.0,318,Đế đỡ điện thoại để bàn thiết kế có thể gập lại tiện lợi,₫9.100,1 Sao (0),2 Sao (0),3 Sao (1),4 Sao (2),5 Sao (96),Có Bình luận (41),Có hình ảnh / video (33),29 tháng trước,"12,1k","2,9k","20,3k",allland.vn,96%,trong vài giờ
Sạc,4.9,"Đã thích (27,3k)",4.9,311,"Củ sạc nhanh 20W ,Cho IP X, XSMAX, 11, 12, 12Pro.......Cổng Type C to Lightning chân tròn EU",₫139.000 - ₫299.000,1 Sao (0),2 Sao (0),3 Sao (1),4 Sao (3),5 Sao (79),Có Bình luận (40),Có hình ảnh / video (31),31 tháng trước,20k,23,543,kotonguyen,97%,trong vài giờ
Sạc,4.9,Đã thích (31),4.9,317,"Cáp sạc Hoco X59 USB to Type-C sạc nhanh 3A, đầu sạc chống gẫy gập, hỗ trợ truyền dữ liệu dành cho điện thoại dài 1m",₫32.450,1 Sao (2),2 Sao (0),3 Sao (2),4 Sao (4),5 Sao (106),Có Bình luận (56),Có hình ảnh / video (48),28 tháng trước,"93,5k",569,"51,6k",hoco_flagship_official_store,90%,trong vài giờ
Sạc,4.9,Đã thích (227),4.9,186,GIÁ ĐỠ ĐIỆN THOẠI 180' VÔ CÙNG TIỆN LỢI CHO ĐIỆN THOẠI MÁY TÍNH BẢNG,₫9.000,1 Sao (0),2 Sao (0),3 Sao (1),4 Sao (2),5 Sao (72),Có Bình luận (30),Có hình ảnh / video (25),3 năm trước,"9,9k",117,"4,4k",quanghanh2711,99%,trong vài phút
Sạc,5.0,Đã thích (43),5.0,222,"Kệ điện thoại, máy tính bảng phun sơn tĩnh điện giúp tản nhiệt tốt, có thể gập lại chắc chắn",₫60.000,1 Sao (0),2 Sao (0),3 Sao (1),4 Sao (2),5 Sao (80),Có Bình luận (30),Có hình ảnh / video (17),22 tháng trước,944,190,"6,2k",opiphone6776,83%,trong vài giờ
