category,avg_rating,n_loved,n_reviews,n_sold,name,price,rate_1,rate_2,rate_3,rate_4,rate_5,rate_with_cmt,rate_with_imgvid,shop_age,shop_follower,shop_n_product,shop_n_review,shop_name,shop_rate_feedback,shop_time_feedback
Điện thoại bàn,,Đã thích (1),,0,[order] Quạt tích điện cầm tay BJYX,₫175.295,,,,,,,,24 tháng trước,299,260,27,bjyxszd95_2026,77%,trong vài giờ
Điện thoại bàn,,Đã thích (2),,0,[bán sỉ]Robot hút bụi Bowai thông minh - Robot lau nhà tự động công nghệ AI 3 trong 1,₫288.000,,,,,,,,29 tháng trước,215,333,453,sigiadung0393865036,73%,trong vài giờ
Điện thoại bàn,,Đã thích (245),,0,ETS3023+ ☎️ Máy Điện Thoại Bàn ☎️ Lắp Sim Gphone STK Mã Huawei ETS3023+,₫504.000,,,,,,,,4 năm trước,"1,4k",141,562,bon_bon_store,9%,trong vài giờ
Điện thoại bàn,,"Đã thích (2,4k)",,0,MÁY IN ĐA CHỨC NĂNG CANONNN LASER MF- 4820D ĐÃ QUA SỬ DỤNG - AALO.VN,₫3.099.000,,,,,,,,3 năm trước,"12,9k",513,242,shopaalo848,58%,trong vài giờ
Điện thoại bàn,,Đã thích (4),,0,"Kệ Dán Tường Để Điện Thoại,Điều Khiển Remote Siêu Tiện Lợi - Khay Đựng Điện Thoại Dán Tường",₫9.999,,,,,,,,3 năm trước,49,24,0,hieusl21072000,57%,trong vài giờ
Điện thoại bàn,,Đã thích (1),,0,Điện thoại bàn IP Yealink SIP-T56A màn hình cảm ứng 7inch,₫6.858.600,,,,,,,,10 tháng trước,182,307,18,duhunggroups2021,64%,trong vài giờ
Điện thoại bàn,,Đã thích (663),,0,VIENTHONGMAILINH Điện thoại bàn Lắp Sim không dây Homphone huawei,₫490.000,,,,,,,,4 năm trước,"4,1k",105,1,linhvms,5%,trong vài phút
Điện thoại bàn,,Đã thích (1),,0,"Dây điện thoại điện thoại di động được phát sóng trực tiếp, nhân viên giường nằm trên bàn tay máy quay nhanh, hãy tự kíc",₫103.206 - ₫234.982,,,,,,,,9 tháng trước,1,183,0,2x7ku7m3jb,7%,trong vài giờ
Điện thoại bàn,,Đã thích (665),,0,VIENTHONGMAILINH Điện Thoại Bàn Không Dây Lắp Sim,₫490.000,,,,,,,,4 năm trước,"4,1k",105,1,linhvms,5%,trong vài phút
Điện thoại bàn,,Đã thích (2),,0,Điện thoại bàn IP Yealink VP SIP-T58V màn hình điện dung 17inch,₫8.179.200,,,,,,,,10 tháng trước,182,307,18,duhunggroups2021,64%,trong vài giờ
Điện thoại bàn,,Đã thích (663),,0,VIENTHONGMAILINH Điện thoại bàn không dây LẮP SIM Huawei F316,₫490.000,,,,,,,,4 năm trước,"4,1k",105,1,linhvms,5%,trong vài phút
Điện thoại bàn,,Đã thích (2),,0,Điện thoại bàn IP Yealink SIP-T53 màn hình LCD đồ họa 3.7inch,₫3.237.600,,,,,,,,10 tháng trước,182,307,18,duhunggroups2021,64%,trong vài giờ
Điện thoại bàn,,Đã thích (1),,0,Máy fax nhiệt Panasonic kx-ft933,₫1.400.000,,,,,,,,16 tháng trước,1,29,10,ngannguyenhoply,64%,trong vài giờ
Điện thoại bàn,,Đã thích (1),,0,Chip MX-560AT - Dùng cho máy photo Sharp MX M464N/M564N/460,₫80.000,,,,,,,,4 năm trước,399,1k,"1,8k",minhtien181,93%,trong vài giờ
Điện thoại bàn,,Đã thích (5),,0,"💥GIÁ SỐC💥 Combo bàn sofa và kệ tivi để phòng khách, bàn sofa đẹp, kệ tivi đẹp KTV002",₫3.450.000,,,,,,,,15 tháng trước,"4,2k",886,275,trananhshop.69,87%,trong vài giờ
