category,avg_rating,n_loved,n_reviews,n_sold,name,price,rate_1,rate_2,rate_3,rate_4,rate_5,rate_with_cmt,rate_with_imgvid,shop_age,shop_follower,shop_n_product,shop_n_review,shop_name,shop_rate_feedback,shop_time_feedback
Máy tính bàn,,Đã thích (66),,0.0,"Case máy tính để bàn HP Compaq 6300 SFF CPU i7-3770 Ram 4GB SSD 240GB Tặng USB thu Wifi, Bảo hành 12 tháng",₫4.905.000,,,,,,,,4 năm trước,"7,6k",1k,290,may_tinh_tdc,85%,trong vài giờ
Máy tính bàn,,Đã thích (1),,0.0,Tem máy tính Core i5 Thế Hệ 9 - màu Trắng Xanh,₫6.000,,,,,,,,4 năm trước,"7,1k",349,"1,5k",nguyensonlaptop,90%,trong vài giờ
Máy tính bàn,,Đã thích (1),,0.0,Case máy tính để bàn HP 400G1/600G1  CPU core  i7-4770  Ram 16GB SSD 120GB+HDD 500GB  Tặng USB thu Wifi,₫8.554.000,,,,,,,,4 năm trước,"11,4k","1,1k","3,3k",tranthe109,84%,trong vài giờ
Máy tính bàn,,Đã thích (2),,0.0,Case máy tính để bàn HP 400G1/600G1 CPU core  i7-4770  Ram 16GB SSD 240GB+HDD 1TB  Tặng USB thu Wifi,₫9.513.000,,,,,,,,4 năm trước,"11,4k","1,1k","3,3k",tranthe109,84%,trong vài giờ
Máy tính bàn,,Đã thích (1),,0.0,Case máy tính để bàn HP 400G1/600G1 CPU core i7-4770 Ram 16GB SSD 240GB Tặng USB thu Wifi,₫8.500.000,,,,,,,,4 năm trước,"11,4k","1,1k","3,3k",tranthe109,84%,trong vài giờ
Máy tính bàn,,Đã thích (2),,0.0,Dell Alienware Gaming PC Aurora R12 Gaming I7 11700F 16GB SSD 1TB.,₫51.000.000,,,,,,,,29 tháng trước,40,162,9,laptopvietcuong,61%,trong vài giờ
Máy tính bàn,,Đã thích (4),,0.0,cây máy tính mini NEC 5800 GT110E-S,₫1.700.000,,,,,,,,32 tháng trước,34,36,42,q01269655161,25%,trong vài phút
Máy tính bàn,,Đã thích (1),,0.0,AppleCare Protection Plan - Mac Pro,₫6.080.000,,,,,,,,34 tháng trước,152,27,9,hnmac.vn,57%,trong vài giờ
Máy tính bàn,,Đã thích (1),,0.0,Máy Tính để bàn. Đủ loại cấu hình để chơi game và làm việc,₫3.000.000,,,,,,,,3 năm trước,6,1,0,nguyenduylinh188,57%,trong vài giờ
Máy tính bàn,,Đã thích (1),,0.0,"Cây Máy Tính Để Bàn Máy Tính Đồng Bộ Giá Rẻ - HP ProDesk 600G1 ( Core I3 , i5, i7) - Bảo Hành 24 Tháng.",₫2.450.000 - ₫6.500.000,,,,,,,,5 năm trước,"1,5k",197,"3,5k",vietthangpc,68%,trong vài giờ
Máy tính bàn,,Đã thích (17),,0.0,Mini PC. Máy tính để bàn mini GMK siêu nhỏ 4 Nhân 2.0GHz đến 2.7GHz 8GB RAM 120G SSD M.2 Đồ họa Intel HD 600,₫6.980.000 - ₫8.190.000,,,,,,,,4 năm trước,229,26,17,uyentran0507,32%,trong vài giờ
Máy tính bàn,,Đã thích (3),,0.0,Bộ máy tính để bàn ( Core  i5-2500/ Ram 8GB / SSD 256GB ) và Màn hình Cong HKC 24 inch - Bảo hành chính Hãng 24 tháng,₫3.290.000 - ₫6.990.000,,,,,,,,4 năm trước,"6,6k",24,34,maytinhbaongoc,6%,trong vài phút
Máy tính bàn,,Đã thích (1),,0.0,Pát cao pát lùn card wifi dành cho máy tính bàn PC,₫15.000 - ₫20.000,,,,,,,,20 tháng trước,9,28,0,ina85501,57%,trong vài giờ
Máy tính bàn,,Đã thích (6),,0.0,"Case máy tính đồng bộ HP ProDesk 400G3 SFF, cpu core i5-6500, ram 8GB, SSD 120GB,HDD 1TB Tặng USB thu Wifi",₫8.736.000,,,,,,,,4 năm trước,"7,6k",1k,290,may_tinh_tdc,85%,trong vài giờ
Máy tính bàn,,Đã thích (3),,0.0,Case FPT Core i3-4130/Main H81M/Ram 4G/SSD 120G/HDD 250G/P450W/GAME ONLINE LIÊN MINH HUYỀN THOẠI + GIẢI TRÍ + VĂN PHÒNG,₫4.200.000 - ₫5.100.000,,,,,,,,17 tháng trước,274,48,77,skpcomputer_2020,94%,trong vài giờ
Máy tính bàn,,Đã thích (9),,0.0,Máy Tính Mini PC Văn Phòng ZOTAC ZBOX MI552,₫5.250.000,,,,,,,,4 năm trước,32,46,23,luisaut,74%,trong vài giờ
Máy tính bàn,,Đã thích (1),,0.0,Case máy tính để bàn HP 400G1/600G1 CPU core  i7-4770  Ram 16GB SSD 480GB+HDD 500GB  Tặng USB thu Wifi,₫10.089.000,,,,,,,,4 năm trước,"11,4k","1,1k","3,3k",tranthe109,84%,trong vài giờ
Máy tính bàn,,,,0.0,Case máy tính để bàn HP 400G1/600G1 CPU i3-4130 Ram 8GB SSD 120GB Tặng USB thu Wifi,₫4.458.000,,,,,,,,4 năm trước,"11,4k","1,1k","3,3k",tranthe109,84%,trong vài giờ
Máy tính bàn,,Đã thích (235),,0.0,"Case MAX PC GAMING X7 CPU Core i7-3770 Ram 4GB SSD 128GB GTX 750TI Chơi PUBG,LOL,CF,Fifa4,Đế chế...+Bộ Phím Chuột Game",₫8.077.000,,,,,,,,4 năm trước,"7,6k",1k,290,may_tinh_tdc,85%,trong vài giờ
Máy tính bàn,,Đã thích (1),,0.0,[Rẻ vô địch]  MÁY POS BÁN HÀNG SUNMI T1 (LIKENEW) + (PHẦN MỀM VĨNH VIỄN),₫4.500.000 - ₫4.650.000,,,,,,,,4 năm trước,19,31,6,epicluxubu,28%,trong vài giờ
Máy tính bàn,,Đã thích (253),,0.0,"Máy tính để bàn MAX PC CPU Core i3 2100/2120 Ram 4GB HDD 500GB + Qùa tặng bộ phím chuột, bàn di chuột",₫2.833.320,,,,,,,,4 năm trước,"7,6k",1k,290,may_tinh_tdc,85%,trong vài giờ
Máy tính bàn,,Đã thích (52),,0.0,PC GAMING HACOM 014,₫14.899.000,,,,,,,,17 tháng trước,580,758,79,thaobeogaming,49%,trong vài giờ
Máy tính bàn,,Đã thích (52),,0.0,PC GAMING SHARK 045,₫16.999.000,,,,,,,,17 tháng trước,580,758,79,thaobeogaming,49%,trong vài giờ
Máy tính bàn,,Đã thích (1),,0.0,"BÁN BỘ MÁY TÍNH CHƠI GAME LOL,CF,FIFA,PUBG...ĐỒ HỌA RENDER,LÀM VIDEO - VĂN PHÒNG",₫8.650.000,,,,,,,,20 tháng trước,7,26,2,may_tinh_viet_tin,24%,trong vài giờ
Máy tính bàn,,Đã thích (1),,0.0,"[THANH LÝ  GIÁ GỐC ]Pc chơi LOL,LMHT,CF, giá rẻ",₫2.900.000 - ₫5.400.000,,,,,,,,6 năm trước,10,4,3,katypham0000,57%,trong vài giờ
Máy tính bàn,,Đã thích (3),,0.0,[Mã ELMALL1TR giảm 5% đơn 3TR] Máy tính để bàn PC HP 280 Pro G5 SFF 33L27PA i5-10400| 8GB| 1TB| Win10,₫11.850.000,,,,,,,,18 tháng trước,"59,5k",173,47,hp_flagship_vhlt_store,62%,trong vài giờ
