category,avg_rating,n_loved,n_reviews,n_sold,name,price,rate_1,rate_2,rate_3,rate_4,rate_5,rate_with_cmt,rate_with_imgvid,shop_age,shop_follower,shop_n_product,shop_n_review,shop_name,shop_rate_feedback,shop_time_feedback
Trang trí và giá đỡ,4.9,"Đã thích (66,7k)",4.9,169,"Dây móc điện thoại, dây đeo điện thoại (Giao ngẫu nhiên)",₫9.900,1 Sao (0),2 Sao (1),3 Sao (0),4 Sao (1),5 Sao (39),Có Bình luận (21),Có hình ảnh / video (15),6 năm trước,"99,4k",357,"5,9k",quanteo2010,97%,trong vài giờ
Trang trí và giá đỡ,4.9,Đã thích (69),4.9,46,BẢN COMBO - DJI Osmo Mobile 3 - Gimbal chống rung dành cho điện thoại - BẢO HÀNH 12 THÁNG,₫3.150.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (1),5 Sao (17),Có Bình luận (10),Có hình ảnh / video (4),4 năm trước,"9,6k",289,"7,3k",dochoitheky,25%,trong vài giờ
Trang trí và giá đỡ,5.0,Đã thích (13),5.0,118,Dây Đeo Điện Thoại Bản Rộng Chống Thất Lạc Mừng Năm Mới 2020,₫29.000,1 Sao (0),2 Sao (0),3 Sao (1),4 Sao (0),5 Sao (45),Có Bình luận (35),Có hình ảnh / video (32),31 tháng trước,"8,4k",404,"13,2k",l15361076767s.vn,99%,trong vài giờ
Trang trí và giá đỡ,4.9,Đã thích (42),4.9,193,Vòng nhẫn đỡ điện thoại xoay 360 độ hình mèo dễ thương,₫9.000 - ₫10.000,1 Sao (0),2 Sao (1),3 Sao (1),4 Sao (2),5 Sao (56),Có Bình luận (44),Có hình ảnh / video (41),19 tháng trước,"3,8k","4,1k","3,3k",hhaixin.vn,93%,trong vài giờ
Trang trí và giá đỡ,4.9,Đã thích (21),4.9,103,Kẹp điện thoại xoay 360 độ hàng loại 1,₫22.000,1 Sao (0),2 Sao (0),3 Sao (1),4 Sao (1),5 Sao (51),Có Bình luận (22),Có hình ảnh / video (24),22 tháng trước,"24,6k",459,"58,2k",sieure1688,97%,trong vài giờ
Trang trí và giá đỡ,4.8,"Đã thích (21,8k)",4.8,157,Chân gậy tự sướng YT-288 đa năng có kèm kẹp điện thoại máy ảnh,₫45.000,1 Sao (0),2 Sao (1),3 Sao (2),4 Sao (5),5 Sao (57),Có Bình luận (26),Có hình ảnh / video (24),3 năm trước,"77,9k",854,"98,7k",chophukiengiare,97%,trong vài giờ
Trang trí và giá đỡ,4.8,Đã thích (26),4.8,122,Giá đỡ nhẫn gắn điện thoại thiết kế hình đôi cánh thời trang ,₫11.000,1 Sao (1),2 Sao (0),3 Sao (1),4 Sao (2),5 Sao (40),Có Bình luận (21),Có hình ảnh / video (21),12 tháng trước,"1,4k",223,"3,8k",lingmingfar.vn,60%,trong vài giờ
Trang trí và giá đỡ,4.5,Đã thích (254),4.5,122,Dây đeo Mi band 4 rằn ri camo thay thế,₫35.000 - ₫85.000,,,,,,,,5 năm trước,"38,2k",632,"18,5k",kazuglobal,76%,trong vài giờ
Trang trí và giá đỡ,5.0,Đã thích (8),5.0,49,Chân Tripod Nhựa Màu Đen Đỡ Máy Ảnh DSLR SLR,₫17.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (1),5 Sao (19),Có Bình luận (8),Có hình ảnh / video (6),3 năm trước,"3,1k","3,4k","16,1k",timemaster1.vn,93%,trong vài giờ
Trang trí và giá đỡ,4.9,Đã thích (6),4.9,94,Điện thoại di động Giá đỡ để bàn đa năng Chất lượng cao dành cho điện thoại di động / máy tính bảng,₫9.500,1 Sao (0),2 Sao (1),3 Sao (1),4 Sao (2),5 Sao (49),Có Bình luận (33),Có hình ảnh / video (29),26 tháng trước,"38,9k",473,"76,1k",dsstore.vn,83%,trong vài giờ
Trang trí và giá đỡ,5.0,Đã thích (2),5.0,128,iring pop kute,₫208.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (25),Có Bình luận (7),Có hình ảnh / video (7),4 năm trước,252,209,"2,1k",duylanhkd,50%,trong vài giờ
Trang trí và giá đỡ,4.9,Đã thích (544),4.9,218,Giá treo tai nghe chất liệu nhôm hợp kim,₫99.000,1 Sao (2),2 Sao (0),3 Sao (1),4 Sao (4),5 Sao (91),Có Bình luận (30),Có hình ảnh / video (22),5 năm trước,"7,5k",162,"2,5k",nhimnhungnhang94,96%,trong vài giờ
Trang trí và giá đỡ,4.9,Đã thích (11),4.9,109,"Ốp lưng Xiaomi Mi 8 Pro , Mi 8 EE , Mi 8 Che vân tay cao su chống sốc Iron Man ver 2 có Iring",₫65.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (2),5 Sao (37),Có Bình luận (14),Có hình ảnh / video (6),5 năm trước,"43,6k","2,3k","68,9k",huynhtan.xiaomiking,100%,trong vài giờ
Trang trí và giá đỡ,4.8,Đã thích (28),4.8,203,"Giá đỡ điện thoại, máy tính bảng bằng kim loại S014",₫32.000,1 Sao (0),2 Sao (0),3 Sao (3),4 Sao (4),5 Sao (38),Có Bình luận (11),Có hình ảnh / video (5),5 năm trước,"9,1k",353,"23,1k",phukientuongvi,99%,trong vài giờ
Trang trí và giá đỡ,4.8,Đã thích (350),4.8,"1,8k",Giá đỡ điện thoại di động bằng gỗ hình chú thỏ dễ thương tiện dụng,₫25.000,1 Sao (15),2 Sao (17),3 Sao (22),4 Sao (38),5 Sao (778),Có Bình luận (735),Có hình ảnh / video (722),30 tháng trước,"2,7k",47,"2,3k",mszhanshops.vn,100%,trong vài giờ
Trang trí và giá đỡ,5.0,Đã thích (14),5.0,147,Ốp Xiaomi Mi 10T / Mi 10T Pro - Loại trong suốt chống sốc,₫55.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (2),5 Sao (45),Có Bình luận (17),Có hình ảnh / video (10),13 tháng trước,689,2k,"1,2k",mintuaccessories,94%,trong vài giờ
Trang trí và giá đỡ,4.8,Đã thích (21),4.8,163,[Rẻ] Dây đeo điện thoại hình thú có khóa [HN] [THS} [Đơn 50k tặng phần quà dễ thương],₫7.000,1 Sao (1),2 Sao (0),3 Sao (0),4 Sao (1),5 Sao (26),Có Bình luận (9),Có hình ảnh / video (10),29 tháng trước,490,349,"2,8k",thuonghieusi,100%,trong vài giờ
Trang trí và giá đỡ,4.9,Đã thích (16),4.9,136,"Ốp lưng Xiaomi Redmi Note 7 , Note 7 Pro chống sốc Iron Man ver 2 có Iring (Full Màu)",₫65.000,,,,,,,,5 năm trước,"43,6k","2,3k","68,9k",huynhtan.xiaomiking,100%,trong vài giờ
